key;description
NewItem_Marketplace;Na rogu dzieciak sprzedaje za fajki rzeczy wyniesione z domu. Wśród nich znajduje się takie złoto jak
NewItem_Marketplace;Nie wiadomo dokładnie kto miał takie lepkie rączki, ale po przejściu przez targowisko okazało się, że w dobytku masz
Fight_Marketplace_Grandma;Tej babci wybitnie nie podoba się, że tak wnikliwie inwestygujecie jajka, które sprzedaje. Nie ma ani pozwolenia na handel, ani dokumentów sanepidowskich. Zaczyna straszyć was swoim wnuczkiem. Będzie walka!
Fight_Marketplace_Strongman;Karku stoi na roku i handluje ruskimi fajkami z bagażnika swojego samochodu. Uprzejmie podchodzicie do niego i pytacie o cenę. Niestety, Karku nie zna się na uprzejmości równie dobrze co wy. Będzie walka! 
NewVehicle_Marketplace_Car;Handlarz samochodów w ogóle nie miał pozwolenia na handel! Po dłuższej rozmowie okazało się, że samochody zostały skradzione z Niemiec. Na koniec skojarzyliście jego twarz z poszukiwanym listem gończym szefem mafii samochodowej i chcieliście go aresztować. Mafiozo zaproponował wam fiata punto w zamian za milczenie. Zgodziliście się.
NewVehicle_Marketplace_Horse;Pomarszczony dziadzio, który sprzedawał płody rolne nie miał pieniędzy, aby zapłacić mandat za brak pozwolenia na handel. W zamian za to, dostaliście jego konia!
CashSink_Marketplace;Cóż za wspaniała solówka na akordeonie w wykonaniu tego artysty! Długo staliście i biliście brawo. Cóż za zbieg okoliczności, że dosłownie chwilę później wszyscy zgubili portfele! Tracicie {0} zł!
CashSource_Marketplace;Kilka braków pozwolenia na handel, kilka nieprawidłowo zaparkowanych samochodów. Kasetka napełnia się... Zarobiliście dzisiaj {0} zł!
Fight_ParkingLot_Strongman;Podczas gdy właśnie montujecie blokadę na czerwone Audi, zjawia się jego właściciel. Ponad sto kilogramów mięśni, solarka, złoty łańcuch na wytrenowanym karczychu. Nóżki jak u kurczaczka, ale nie szkodzi. Spuści wam manto gigantycznymi łapami. Będzie ustawka!
Fight_ParkingLot_Teenager;Właśnie widzicie jak jakiś nastolatek przejechał komuś kluczami po boku samochodu. Usiłujecie go zatrzymać, ale dzieciak ucieka. Będzie walka!
NewVehicle_ParkingLot_Car;Właściciel Opla Corsy, któemu wystawiliście mandat stwierdził, że samochód jest wart mniej niż mandat za niego. Zyskaliście więc samochód!
NewVehicle_ParkingLot_Horse;Przez godzinę próbowaliście założyć blokadę na nieprawidłowo zaparkowanego konia, ale nie udało wam się. Zwierzę jednak jakby was polubiło i poszło za wami.
CashSource_ParkingLot;Wypisaliście mandat nieprawidłowo zaparkowanej karetce. Ratownicy nie mieli wyjścia i natychmiast go spłacili!
CashSource_ParkingLot;Procedurę wystawiania mandatów opanowaliście już do perfekcji! Co prawda wszystkie te samochody były zaparkowane poprawnie, ale na pewno ktoś się wystraszy i zapłaci.
NewItem_Church;Na środku świątyni stał już stos rzeczy przeznaczonych do palenia - plakat z Danielem Radcliffem, książki o ewolucji oraz maskotka Pikachu. Leży tam także {0}. Hej, tego nie możecie przegapić! Zabieracie {0} ze sobą.
NewItem_Church;Światło z witrażu padało wprost na wielką kamienną chrzcielnicę. Zauważyliście, że znajduje się w niej jakiś przedmiot. Okazało się, że to {0}! Umoczony w wodzie święconej na pewno musi mieć niesamowite właściwości. Pozstanawiacie zabrać {0} ze sobą.
Fight_Church_Grandma;Gdy tylko przekroczyliście próg świątyni, chór starszych pań śpiewających Ave Maria natychmiast zamilkł. Jedna z nich z trzaskiem zamknęła swój śpiewnik i podeszła do was z zaciętym wyrazem twarzy. Chyba trafiliście do złego sąsiedztwa. Będzie walka!
Fight_Church_Priest;Księdza chyba rozjuszyło to, że zamiast do spowiedzi, przyszliście wystawić mu mandacik za nieprawidłowo zaparkowanego pod kościołem Maybacha. Wyszedł z konfesjonału czały czerwony na twarzy i zaczął was wyzywać od grzeszników. Sytuacja robi się poważna!
GetCashSink_Church;Okazało się, że zamiast koszyczków na ofiarę, w kościele są teraz pomontowane urządzenia zbliżeniowe. Samo przejście przez próg kościoła kosztowało was {0} zł.
GetCashSink_Church;Proboszcz niesamowicie ucieszył się na was widok. Po niesamowicie miłej i pokrzepiającej wymianie zdań, życzył wam przyjemnej pracy i pobłogosławił całą Straż Miejską w mieście. Gdy już mieliście wychodzić, dowiedzieliście się, że błogosławieństwo kosztuje {0} zł.
CashSource_GreenSquare;Mężczyzna zasłonięty szalikiem wrzucił papierową kopertę do kosza przeznaczonego na plastik, po czym pospiesznie się oddalił. Co za bezczelność! Wyciągnęliście kopertę z kosza, celem wrzucenia jej do prawidłowego pojemnika, ale okazało się, że w środku jest całkiem pokaźna suma. Zarobiliście {0} zł!
CashSource_GreenSquare;Siedząc na ławeczce zauważyliście kobietę w średnim wieku, która w reklamóce z Biedronki niosła... Tak! Czy to PIWO?! Przez chwilę kłóciliście się z nią, czy reklamówka jest bardziej czy mniej półprzezroczysta, ale w końcu argument o gorszeniu dzieci zwyciężył. Wypisaliście tej pani mandat za zamiar spożycia alkoholu w miejscu publicznym. Zarobiliście {0} zł!
Fight_GreenSquare_Teenager;Grupa nastolatków siedzących na ławce jest nieco zbyt rozbawiona. Nie bardzo kupujecie ich argument, że są za dobrzy z wychowania fizycznego i nie muszą na nie chodzić - w końcu nie mają zbyt dużych mięśni. Właściciel najbujniejszej grzywki zaczyna coraz głośniej wam pyskować. To chyba będzie osobiste!
Fight_GreenSquare_Drunkard;Jeszcze go nie zobaczyliście, a już poczuliście. Bujnie zarośnięty menel spał sobie w najlepsze pod pomnikiem wśród kwiatów. Zrobiliście wyliczanie, kto go budzi. Wychodzi na to, że...
